Frame: 87 || Prediction: 999 || Confidence: 21.58 || PSafe: 0.57 
Frame: 88 || Prediction: 999 || Confidence: 20.05 || PSafe: 0.57 
Frame: 89 || Prediction: 999 || Confidence: 21.12 || PSafe: 0.58 
Frame: 90 || Prediction: 999 || Confidence: 19.17 || PSafe: 0.58 
Frame: 91 || Prediction: 999 || Confidence: 20.25 || PSafe: 0.59 
Frame: 92 || Prediction: 999 || Confidence: 20.27 || PSafe: 0.60 
Frame: 93 || Prediction: 999 || Confidence: 21.62 || PSafe: 0.60 
Frame: 94 || Prediction: 999 || Confidence: 22.53 || PSafe: 0.61 
Frame: 95 || Prediction: 999 || Confidence: 23.71 || PSafe: 0.61 
Frame: 96 || Prediction: 999 || Confidence: 26.25 || PSafe: 0.61 
Frame: 97 || Prediction: 999 || Confidence: 23.02 || PSafe: 0.62 
Frame: 98 || Prediction: 999 || Confidence: 24.32 || PSafe: 0.62 
Frame: 99 || Prediction: 999 || Confidence: 24.90 || PSafe: 0.63 
Frame: 100 || Prediction: 999 || Confidence: 23.33 || PSafe: 0.63 
Frame: 101 || Prediction: 999 || Confidence: 25.02 || PSafe: 0.63 
Frame: 102 || Prediction: 999 || Confidence: 24.24 || PSafe: 0.64 
Frame: 103 || Prediction: 999 || Confidence: 23.69 || PSafe: 0.64 
Frame: 104 || Prediction: 999 || Confidence: 25.09 || PSafe: 0.64 
Frame: 105 || Prediction: 999 || Confidence: 25.02 || PSafe: 0.65 
Frame: 106 || Prediction: 999 || Confidence: 21.60 || PSafe: 0.65 
Frame: 107 || Prediction: 999 || Confidence: 24.34 || PSafe: 0.65 
Frame: 108 || Prediction: 999 || Confidence: 25.36 || PSafe: 0.66 
Frame: 109 || Prediction: 999 || Confidence: 28.30 || PSafe: 0.66 
Frame: 110 || Prediction: 999 || Confidence: 23.06 || PSafe: 0.66 
Frame: 111 || Prediction: 999 || Confidence: 23.23 || PSafe: 0.66 
Frame: 112 || Prediction: 999 || Confidence: 25.66 || PSafe: 0.67 
Frame: 113 || Prediction: 999 || Confidence: 26.39 || PSafe: 0.67 
Frame: 114 || Prediction: 999 || Confidence: 29.51 || PSafe: 0.67 
Frame: 115 || Prediction: 999 || Confidence: 29.22 || PSafe: 0.67 
Frame: 116 || Prediction: 999 || Confidence: 29.66 || PSafe: 0.67 
Frame: 117 || Prediction: 999 || Confidence: 28.64 || PSafe: 0.68 
Frame: 118 || Prediction: 999 || Confidence: 29.20 || PSafe: 0.68 
Frame: 119 || Prediction: 999 || Confidence: 29.07 || PSafe: 0.68 
Frame: 120 || Prediction: 999 || Confidence: 28.83 || PSafe: 0.68 
Frame: 121 || Prediction: 999 || Confidence: 29.23 || PSafe: 0.68 
Frame: 122 || Prediction: 999 || Confidence: 28.72 || PSafe: 0.69 
Frame: 123 || Prediction: 999 || Confidence: 29.18 || PSafe: 0.69 
Frame: 124 || Prediction: 999 || Confidence: 28.97 || PSafe: 0.69 
Frame: 125 || Prediction: 999 || Confidence: 30.09 || PSafe: 0.69 
Frame: 126 || Prediction: 999 || Confidence: 29.57 || PSafe: 0.69 
Frame: 127 || Prediction: 999 || Confidence: 28.62 || PSafe: 0.69 
Frame: 128 || Prediction: 999 || Confidence: 27.55 || PSafe: 0.69 
Frame: 129 || Prediction: 999 || Confidence: 25.96 || PSafe: 0.70 
Frame: 130 || Prediction: 999 || Confidence: 27.18 || PSafe: 0.70 
Frame: 131 || Prediction: 999 || Confidence: 25.32 || PSafe: 0.70 
Frame: 132 || Prediction: 999 || Confidence: 23.57 || PSafe: 0.70 
Frame: 133 || Prediction: 999 || Confidence: 24.21 || PSafe: 0.70 
Frame: 134 || Prediction: 999 || Confidence: 23.73 || PSafe: 0.71 
Frame: 135 || Prediction: 999 || Confidence: 25.10 || PSafe: 0.71 
Frame: 136 || Prediction: 999 || Confidence: 23.82 || PSafe: 0.71 
Frame: 137 || Prediction: 999 || Confidence: 23.69 || PSafe: 0.71 
Frame: 138 || Prediction: 999 || Confidence: 25.31 || PSafe: 0.72 
Frame: 139 || Prediction: 999 || Confidence: 25.99 || PSafe: 0.72 
Frame: 140 || Prediction: 999 || Confidence: 29.50 || PSafe: 0.72 
Frame: 141 || Prediction: 999 || Confidence: 32.92 || PSafe: 0.72 
Frame: 142 || Prediction: 999 || Confidence: 32.28 || PSafe: 0.72 
Frame: 143 || Prediction: 999 || Confidence: 35.89 || PSafe: 0.72 
Frame: 144 || Prediction: 999 || Confidence: 36.62 || PSafe: 0.72 
Frame: 145 || Prediction: 999 || Confidence: 33.15 || PSafe: 0.72 
Frame: 146 || Prediction: 999 || Confidence: 36.98 || PSafe: 0.71 
Frame: 147 || Prediction: 999 || Confidence: 33.96 || PSafe: 0.71 
Frame: 148 || Prediction: 999 || Confidence: 33.36 || PSafe: 0.71 
Frame: 149 || Prediction: 999 || Confidence: 32.79 || PSafe: 0.71 
Frame: 150 || Prediction: 999 || Confidence: 32.73 || PSafe: 0.71 
Frame: 151 || Prediction: 999 || Confidence: 33.05 || PSafe: 0.72 
Frame: 152 || Prediction: 999 || Confidence: 32.36 || PSafe: 0.72 
Frame: 153 || Prediction: 999 || Confidence: 37.69 || PSafe: 0.71 
Frame: 154 || Prediction: 999 || Confidence: 39.01 || PSafe: 0.71 
Frame: 155 || Prediction: 999 || Confidence: 40.93 || PSafe: 0.71 
Frame: 156 || Prediction: 999 || Confidence: 39.27 || PSafe: 0.70 
Frame: 157 || Prediction: 999 || Confidence: 41.39 || PSafe: 0.70 
