Frame: 87 || Prediction: 999 || Confidence: 17.87 || PSafe: 0.92 
Frame: 88 || Prediction: 999 || Confidence: 17.25 || PSafe: 0.92 
Frame: 89 || Prediction: 999 || Confidence: 17.79 || PSafe: 0.92 
Frame: 90 || Prediction: 999 || Confidence: 20.52 || PSafe: 0.92 
Frame: 91 || Prediction: 999 || Confidence: 17.38 || PSafe: 0.92 
Frame: 92 || Prediction: 999 || Confidence: 18.79 || PSafe: 0.92 
Frame: 93 || Prediction: 999 || Confidence: 19.76 || PSafe: 0.92 
Frame: 94 || Prediction: 999 || Confidence: 20.41 || PSafe: 0.92 
Frame: 95 || Prediction: 999 || Confidence: 20.47 || PSafe: 0.93 
Frame: 96 || Prediction: 999 || Confidence: 20.40 || PSafe: 0.93 
Frame: 97 || Prediction: 999 || Confidence: 20.91 || PSafe: 0.93 
Frame: 98 || Prediction: 999 || Confidence: 19.75 || PSafe: 0.93 
Frame: 99 || Prediction: 999 || Confidence: 18.98 || PSafe: 0.93 
Frame: 100 || Prediction: 999 || Confidence: 19.07 || PSafe: 0.93 
Frame: 101 || Prediction: 999 || Confidence: 18.32 || PSafe: 0.93 
Frame: 102 || Prediction: 999 || Confidence: 18.68 || PSafe: 0.93 
Frame: 103 || Prediction: 999 || Confidence: 18.10 || PSafe: 0.93 
Frame: 104 || Prediction: 999 || Confidence: 18.68 || PSafe: 0.93 
Frame: 105 || Prediction: 999 || Confidence: 19.05 || PSafe: 0.93 
Frame: 106 || Prediction: 999 || Confidence: 17.63 || PSafe: 0.93 
Frame: 107 || Prediction: 999 || Confidence: 18.38 || PSafe: 0.94 
Frame: 108 || Prediction: 999 || Confidence: 18.78 || PSafe: 0.94 
Frame: 109 || Prediction: 999 || Confidence: 19.43 || PSafe: 0.94 
Frame: 110 || Prediction: 999 || Confidence: 18.86 || PSafe: 0.94 
Frame: 111 || Prediction: 999 || Confidence: 21.77 || PSafe: 0.94 
Frame: 112 || Prediction: 999 || Confidence: 33.95 || PSafe: 0.94 
Frame: 113 || Prediction: 999 || Confidence: 23.29 || PSafe: 0.94 
Frame: 114 || Prediction: 999 || Confidence: 33.25 || PSafe: 0.94 
Frame: 115 || Prediction: 999 || Confidence: 23.09 || PSafe: 0.94 
Frame: 116 || Prediction: 999 || Confidence: 20.30 || PSafe: 0.94 
Frame: 117 || Prediction: 999 || Confidence: 17.95 || PSafe: 0.94 
Frame: 118 || Prediction: 999 || Confidence: 28.43 || PSafe: 0.94 
Frame: 119 || Prediction: 999 || Confidence: 28.58 || PSafe: 0.94 
Frame: 120 || Prediction: 999 || Confidence: 18.63 || PSafe: 0.94 
Frame: 121 || Prediction: 999 || Confidence: 26.34 || PSafe: 0.94 
Frame: 122 || Prediction: 999 || Confidence: 18.73 || PSafe: 0.94 
Frame: 123 || Prediction: 999 || Confidence: 21.92 || PSafe: 0.94 
Frame: 124 || Prediction: 999 || Confidence: 24.30 || PSafe: 0.94 
Frame: 125 || Prediction: 999 || Confidence: 25.18 || PSafe: 0.94 
Frame: 126 || Prediction: 999 || Confidence: 22.03 || PSafe: 0.94 
Frame: 127 || Prediction: 999 || Confidence: 20.39 || PSafe: 0.94 
Frame: 128 || Prediction: 999 || Confidence: 22.51 || PSafe: 0.94 
Frame: 129 || Prediction: 999 || Confidence: 27.14 || PSafe: 0.94 
Frame: 130 || Prediction: 999 || Confidence: 37.14 || PSafe: 0.94 
Frame: 131 || Prediction: 999 || Confidence: 20.51 || PSafe: 0.94 
Frame: 132 || Prediction: 999 || Confidence: 19.68 || PSafe: 0.94 
Frame: 133 || Prediction: 999 || Confidence: 22.27 || PSafe: 0.94 
Frame: 134 || Prediction: 999 || Confidence: 19.42 || PSafe: 0.94 
Frame: 135 || Prediction: 999 || Confidence: 19.43 || PSafe: 0.94 
Frame: 136 || Prediction: 999 || Confidence: 21.77 || PSafe: 0.94 
Frame: 137 || Prediction: 999 || Confidence: 21.31 || PSafe: 0.94 
Frame: 138 || Prediction: 999 || Confidence: 19.96 || PSafe: 0.94 
Frame: 139 || Prediction: 999 || Confidence: 21.55 || PSafe: 0.94 
Frame: 140 || Prediction: 999 || Confidence: 20.37 || PSafe: 0.94 
